Title Code,Title Description,Standard Hours,Assignment Level,Union Code,Union Description,Bargaining Unit Short Name,Bargaining Unit Description,Minimum Salary Rate,Maximum Salary Rate
12200,STOCK WORKER,35,1,47,SPECIAL OFFICERS L237 IBT,IBT,Intl Brotherhood of Teamsters,"31,873.00","42,517.00"
12200,STOCK WORKER,35,1,47,SPECIAL OFFICERS L237 IBT,IBT,Intl Brotherhood of Teamsters,"37,803.00","50,426.00"
12200,STOCK WORKER,35,2,47,SPECIAL OFFICERS L237 IBT,IBT,Intl Brotherhood of Teamsters,"32,505.00","43,010.00"
12200,STOCK WORKER,35,2,47,SPECIAL OFFICERS L237 IBT,IBT,Intl Brotherhood of Teamsters,"41,697.00","55,173.00"
12202,SUPERVISOR OF STOCK WORKERS,35,1,47,SPECIAL OFFICERS L237 IBT,IBT,Intl Brotherhood of Teamsters,"35,039.00","47,894.00"
12202,SUPERVISOR OF STOCK WORKERS,35,1,47,SPECIAL OFFICERS L237 IBT,IBT,Intl Brotherhood of Teamsters,"44,950.00","61,438.00"
12202,SUPERVISOR OF STOCK WORKERS,35,2,47,SPECIAL OFFICERS L237 IBT,IBT,Intl Brotherhood of Teamsters,"45,825.00","62,211.00"
12202,SUPERVISOR OF STOCK WORKERS,35,2,47,SPECIAL OFFICERS L237 IBT,IBT,Intl Brotherhood of Teamsters,"52,750.00","71,614.00"
12202,SUPERVISOR OF STOCK WORKERS,35,3,47,SPECIAL OFFICERS L237 IBT,IBT,Intl Brotherhood of Teamsters,"49,609.00","67,733.00"
12202,SUPERVISOR OF STOCK WORKERS,35,3,47,SPECIAL OFFICERS L237 IBT,IBT,Intl Brotherhood of Teamsters,"63,639.00","86,888.00"
12203,HOUSING STOCK WORKER,35,1,420,TEAMSTERS LOCAL 237 (HA),IBT,Intl Brotherhood of Teamsters,"36,775.00","50,198.00"
12203,HOUSING STOCK WORKER,35,2,420,TEAMSTERS LOCAL 237 (HA),IBT,Intl Brotherhood of Teamsters,"44,140.00","56,857.00"
12204,SUPERVISOR OF HOUSING STOCK WO,35,1,420,TEAMSTERS LOCAL 237 (HA),IBT,Intl Brotherhood of Teamsters,"50,293.00","63,538.00"
12204,SUPERVISOR OF HOUSING STOCK WO,35,2,420,TEAMSTERS LOCAL 237 (HA),IBT,Intl Brotherhood of Teamsters,"55,888.00","66,797.00"
12204,SUPERVISOR OF HOUSING STOCK WO,35,3,420,TEAMSTERS LOCAL 237 (HA),IBT,Intl Brotherhood of Teamsters,"68,403.00","81,437.00"
12603,LEGISLATIVE ANALYST AIDE (CITY,35,0,883,MGRL TEMP - PROP EX,N/U,Non-Union,"63,301.00","252,165.00"
12611,LEGISLATIVE ANALYST,35,0,664,UNCLASSIFIED OJ,N/U,Non-Union,"3,000.00","100,000.00"
12626,STAFF ANALYST,35,1,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,"57,590.00","68,181.00"
12626,STAFF ANALYST,35,2,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,"66,875.00","74,479.00"
12627,ASSOCIATE STAFF ANALYST,35,0,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,"75,591.00","97,873.00"
12628,EDUCATION ANALYST,35,1,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,"33,760.00","39,968.00"
12628,EDUCATION ANALYST,35,2,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,"39,202.00","43,658.00"
12629,ASSOCIATE EDUCATION ANALYST,35,0,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,"65,120.00","84,313.00"
1262C,EDUCATION ANALYST (UNION),37.5,0,430,EDUCATION ANALYST- DOE,N/U,Non-Union,"58,936.00","76,208.00"
1262D,ASSOCIATE EDUCATION ANALYST (U,37.5,0,430,EDUCATION ANALYST- DOE,N/U,Non-Union,"75,828.00","98,181.00"
1262E,STAFF ANALYST (DOE - OJ),35,1,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,"46,592.00","55,157.00"
1262E,STAFF ANALYST (DOE - OJ),35,2,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,"54,101.00","60,252.00"
1262F,ASSOCIATE STAFF ANALYST DOE OJ,35,0,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,"61,157.00","79,182.00"
12632,SPECIAL ASSISTANT TO THE DISTR,35,0,679,DA-NON-MAYOR SALARY/NON-COMPET,N/U,Non-Union,"33,000.00","113,500.00"
12633,EDUCATION OFFICER,35,1,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,"49,611.00","64,156.00"
12633,EDUCATION OFFICER,35,2,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,"65,120.00","84,313.00"
12634,*ASSOCIATE EDUCATION OFFICER,35,0,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,"71,897.00","93,086.00"
12635,SR MANAGEMENT CONSULTANT (ACCO,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12638,Senior Management Consultant,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
1263A,EDUCATION OFFICER (UNION),37.5,1,430,EDUCATION ANALYST- DOE,N/U,Non-Union,"58,938.00","76,208.00"
1263A,EDUCATION OFFICER (UNION),37.5,2,430,EDUCATION ANALYST- DOE,N/U,Non-Union,"77,352.00","100,155.00"
1263B,*ASSOCIATE EDUCATION OFFICER (,37.5,0,430,EDUCATION ANALYST- DOE,N/U,Non-Union,"86,221.00","111,640.00"
12644,SENIOR MANAGEMENT CONSULTANT (,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12645,SENIOR MANAGEMENT CONSULTANT (,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12646,*ASSISTANT SYSTEMS ANALYST (FI,35,0,129,ACCOUNTING AND EDP TITLES DC37,DC37,District Council 37,"37,832.00","70,055.00"
12647,*SYSTEMS ANALYST,35,0,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,"38,141.00","70,045.00"
12648,*SENIOR SYSTEMS ANALYST,35,0,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,"42,189.00","78,803.00"
12650,*SUPERVISING SYSTEMS ANALYST,35,0,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,"51,648.00","69,438.00"
12651,*SR SYSTEMS ANALYST - EDP(HMH),35,0,129,ACCOUNTING AND EDP TITLES DC37,DC37,District Council 37,"45,287.00","84,587.00"
12652,*SR MANAGEMENT CONSULTANT HMH,35,0,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,"56,884.00","124,361.00"
12675,DIRECTOR EMPLOYEE MANAGEMENT D,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12676,DIRECTOR OF TRAINING (POLICE D,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12702,MONITOR,35,0,660,PART TIME OJ,N/U,Non-Union,15.00,16.00
12704,TESTS AND MEASUREMENT SPECIAL,35,1,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,"57,590.00","74,479.00"
12704,TESTS AND MEASUREMENT SPECIAL,35,2,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,"66,591.00","86,175.00"
12704,TESTS AND MEASUREMENT SPECIAL,35,3,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,"75,591.00","97,873.00"
12707,PENSION INVESTMENT ADVISOR,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12749,STAFF ANALYST TRAINEE,35,0,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,"45,123.00","54,143.00"
12750,EDUCATION ANALYST TRAINEE,35,0,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,"25,000.00","30,000.00"
12751,PSYCHOMETRICIAN,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12752,LABOR RELATIONS ANALYST TRAINE,35,0,661,COMPETITIVE OJ,N/U,Non-Union,"49,110.00","59,832.00"
12797,SECRETARY TO THE EXECUTIVE DIR,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"53,811.00","70,253.00"
12798,SECRETARY TO COMMISSIONER (YOU,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"64,829.00","89,054.00"
12799,SECRETARY TO CONFLICTS OF INTE,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"48,440.00","68,772.00"
12800,CONFIDENTIAL SECRETARY OF ADMI,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"55,224.00","71,418.00"
12801,EXECUTIVE SECRETARY TO VICE CH,35,0,883,MGRL TEMP - PROP EX,N/U,Non-Union,"63,301.00","252,165.00"
12803,SECRETARY TO THE EXECUTIVE DIR,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"49,329.00","64,650.00"
12804,CONFIDENTIAL SECRETARY (KINGS,35,0,128,CLERICAL TITLES DC37,DC37,District Council 37,"42,896.00","55,228.00"
12805,ASSISTANT EXECUTIVE SECRETARY,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12806,SPECIAL ADVISOR TO THE CITY CL,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"79,875.00","114,043.00"
12807,EXECUTIVE ASSISTANT TO THE CIT,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"87,277.00","208,826.00"
12808,ASSISTANT ADMINISTRATOR (OFFIC,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"49,218.00","95,476.00"
12809,EXECUTIVE ASSISTANT TO THE DIR,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"56,772.00","72,865.00"
12816,CONFIDENTIAL SECRETARY TO THE,35,0,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,"58,926.00","234,738.00"
12820,EXECUTIVE SECRETARY,35,0,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,"58,926.00","234,738.00"
12823,EXEC SEC TO ADVISORY BD FOR LO,35,0,780,BOE MANAGERIAL/NON-COMPETITIVE,N/U,Non-Union,"63,301.00","252,165.00"
12827,SECRETARY (NYC COMMISSION TO T,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"52,791.00","61,595.00"
12830,LAW SECRETARY,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12832,SECRETARY TO COMMUNITY SCHOOL,35,0,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,"27,355.00","46,609.00"
12833,SECY TO THE DIRECTOR OF COLLEC,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"64,905.00","89,066.00"
12834,SECRETARY TO THE DIRECTOR OF F,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"52,791.00","69,179.00"
12840,EXECUTIVE SECRETARY TO THE DIR,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"84,395.00","84,395.00"
12846,SECRETARY TO COMMISSIONER OF B,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"52,791.00","69,179.00"
12849,Secretary to the Deputy Mayor,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"59,454.00","83,535.00"
12851,SECRETARY,35,0,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,"63,036.00","63,036.00"
12854,SECRETARY OF THE AUTHORITY,35,0,792,HA EXEMPT CLASS MANAGER,N/U,Non-Union,"44,558.00","137,387.00"
12855,SECRETARY OF THE BOARD,35,0,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,"33,000.00","113,500.00"
12856,SECRETARY OF THE BOARD OF EDUC,35,0,779,BOE MANAGERIAL/EXEMPT,N/U,Non-Union,"33,000.00","113,500.00"
12857,SECRETARY OF THE DEPARTMENT (H,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12858,SECRETARY OF THE COMMISSION,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12859,SECRETARY TO THE DEPARTMENT (F,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
1285A,SECRETARY (MANAGERIAL),35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12860,SECRETARY OF THE TAX COMMISSIO,35,0,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,"41,000.00","47,277.00"
12862,SECRETARY OF COMM(7 AGENCIES),35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"53,992.00","91,196.00"
12862,SECRETARY OF COMM(7 AGENCIES),35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"55,612.00","93,932.00"
12867,SECRETARY TO DEPARTMENT,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12868,SECRETARY TO ONE DEPUTY COMMIS,35,0,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,"70,000.00","95,000.00"
12869,SECRETARY TO THE DEPUTY COMMIS,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"46,662.00","81,102.00"
12871,SECRETARY TO THE CHAIRMAN (TAX,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"48,539.00","67,763.00"
12872,SECRETARY TO THE CHAIRMAN,35,0,620,NON COMPETITIVE OJ (HA),N/U,Non-Union,1.00,"200,000.00"
12875,SECRETARY TO THE COMMISSIONER,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"68,972.00","93,063.00"
12876,SECRETARY TO THE COMMISSIONER,35,0,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,"32,070.00","128,280.00"
12879,SECRETARY TO THE CORPORATION C,35,0,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,"58,926.00","234,738.00"
12880,SECRETARY TO THE DEPARTMENT,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12882,SECRETARY TO THE PRESIDENT,35,0,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,"43,702.00","95,000.00"
12885,SECRETARY TO THE DEPUTY BORO P,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"49,284.00","49,284.00"
12886,SECRETARY TO VICE CHAIRMAN,35,0,883,MGRL TEMP - PROP EX,N/U,Non-Union,"63,301.00","252,165.00"
12888,SECRETARY TO THE DIRECTOR OF M,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"64,905.00","89,066.00"
12889,ASSISTANT SECRETARY TO THE COM,35,0,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,"45,000.00","99,000.00"
12890,SECRETARY TO MINORITY LEADER,35,0,883,MGRL TEMP - PROP EX,N/U,Non-Union,"63,301.00","252,165.00"
12891,SECRETARY TO THE BOARD OF CORR,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"55,434.00","55,434.00"
12896,SECRETARY TO THE FIRE COMMISSI,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"68,972.00","93,063.00"
12898,SECRETARY TO PRESIDENT OF THE,35,0,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,"33,000.00","103,000.00"
12899,SECRETARY TO THE COMPTROLLER,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"61,506.00","61,506.00"
1289A,SECRETARY TO THE BOARD OF CORR,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12912,ASSISTANT DEPUTY COMMISSIONER,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12913,SECRETARY TO THE COMMISSIONER,40,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"62,998.00","86,458.00"
12917,FIRST DEPUTY CITY ADMINISTRATO,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12920,ASSISTANT COMMISSIONER (DEPT O,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12927,ASSISTANT COMMISSIONER (PROGRA,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12929,ASSISTANT COMMISSIONER (BUDGET,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12930,DEPUTY CITY CLERK,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12931,ASSISTANT DEPUTY COMMISSIONER,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12932,ASSISTANT COMMISSIONER (EQUAL,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12933,SECRETARY TO THE FIRST DEPUTY,35,0,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,"45,978.00","88,649.00"
12935,DEPUTY COMMISSIONER,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12936,SPECIAL DEPUTY COMMISSIONER (D,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12939,DEPUTY COMMISSIONER (YOUTH SER,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12940,DEPUTY MAYOR,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12941,DIRECTOR OF FRANCHISES,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12942,FIRST DEPUTY MAYOR,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12945,FIRST DEPUTY COMMISSIONER,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12947,SECRETARY TO THE COMMISSIONER,35,0,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,"65,318.00","86,807.00"
12948,FIRST DEPUTY COMMISSIONER GENE,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12953,SECRETARY TO COUNSEL (HA),35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"58,068.00","72,292.00"
12956,EXECUTIVE SECRETARY (EEPC),35,0,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,"80,000.00","80,000.00"
12957,SECRETARY TO DEPUTY EXECUTIVE,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"57,192.00","72,292.00"
12961,DEPUTY BOROUGH PRESIDENT,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12962,SECRETARY TO THE FIRST DEPUTY,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"53,086.00","80,223.00"
12963,SECRETARY TO MEMBER (HA),35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"56,617.00","71,564.00"
12964,SECRETARY TO EXECUTIVE DIRECTO,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"59,882.00","78,923.00"
12985,"CHAIRMAN, FINANCE COMMITTEE",35,0,887,ELECTED OFFICIALS,N/U,Non-Union,"3,000.00","77,500.00"
12986,CHAIRMAN COMMISSION ON HUMAN R,35,0,774,UNCLASSIFIED MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12987,FIRST DEPUTY CITY CLERK,35,0,774,UNCLASSIFIED MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12988,CITY CLERK & CLERK OF COUNCIL,35,0,774,UNCLASSIFIED MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12989,VICE CHAIRMAN MAJORITY LEADER,35,0,887,ELECTED OFFICIALS,N/U,Non-Union,"3,000.00","77,500.00"
12990,MEMBER OF THE HOUSING AUTHORIT,35,0,793,HA UNCLASSIFIED SERVICE MANAGE,N/U,Non-Union,"44,558.00","137,387.00"
12991,COMMISSIONER,35,0,774,UNCLASSIFIED MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12992,CHAIRMAN,35,0,774,UNCLASSIFIED MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12993,PRESIDENT,35,0,774,UNCLASSIFIED MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
12994,BOROUGH PRESIDENT,35,0,887,ELECTED OFFICIALS,N/U,Non-Union,"135,000.00","179,200.00"
12994,BOROUGH PRESIDENT,35,0,887,ELECTED OFFICIALS,N/U,Non-Union,"160,000.00","179,200.00"
12995,MAYOR,35,0,887,ELECTED OFFICIALS,N/U,Non-Union,1.00,"258,750.00"
12997,COMMISSIONER DESIGNATED AS VIC,35,0,774,UNCLASSIFIED MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
1299A,COMMISSIONER (NOT FULL-TIME),35,0,664,UNCLASSIFIED OJ,N/U,Non-Union,"39,154.00","156,000.00"
13002,COMMISSIONER OF EMERGENCY MANA,35,0,774,UNCLASSIFIED MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13003,FIRST DEPUTY COMMISSIONER (FD),35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13004,FIRST DEPUTY COMMISSIONER (BUI,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13005,FIRST DEPUTY COMMISSIONER (DOC,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13079,DIRECTOR OF PERSONNEL (HA),35,0,720,COMPETITIVE OJ (HA),N/U,Non-Union,"58,926.00","234,738.00"
13117,ASSISTANT TRANSIT MANAGEMENT A,35,0,661,COMPETITIVE OJ,N/U,Non-Union,"26,481.00","34,245.00"
13198,RESEARCH AND LIAISON COORDINAT,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13200,ASSISTANT TO THE COMMISSIONER,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13201,ADMINISTRATIVE ASSISTANT TO TH,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13202,ASSISTANT TO CITY ADMINISTRATO,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13204,EXECUTIVE ASSISTANT TO THE COM,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13206,ASSISTANT TO THE CHAIRMAN,35,0,792,HA EXEMPT CLASS MANAGER,N/U,Non-Union,"44,558.00","137,387.00"
13207,ASSISTANT TO THE COMMISSIONER,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13208,ASSISTANT TO THE COMPTROLLER,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13209,ASSISTANT TO THE MAYOR,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13210,ASSISTANT TO THE PRESIDENT,35,0,888,"EXEMPT SOME MANAGERIAL,SOME NO",N/U,Non-Union,"63,301.00","252,165.00"
13211,ASSISTANT TO DEPUTY COMPTROLLE,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13217,ASSISTANT TO POLICE COMMISSION,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13219,EXECUTIVE ASSISTANT TO THE CHI,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
1321A,ASSISTANT TO THE PRESIDENT (PM,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13220,CONFIDENTIAL ASSISTANT TO BOAR,35,0,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,"87,800.00","113,924.00"
13222,EXECUTIVE ASSISTANT TO THE PRE,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13224,CONFIDENTIAL EXAMINER,35,0,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,"40,000.00","151,181.00"
13225,SPECIAL ASSISTANT (TAX COMMISS,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13229,CONFIDENTIAL ASSISTANT TO THE,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13231,EXECUTIVE ASSISTANT,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13232,EXECUTIVE ASSISTANT TO THE COM,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13240,EXECUTIVE ASSISTANT TO THE COM,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13243,SPECIAL ASSISTANT (RESEARCH AN,35,0,779,BOE MANAGERIAL/EXEMPT,N/U,Non-Union,"33,000.00","113,500.00"
13244,SPECIAL ASSISTANT IN THE OFFIC,35,0,780,BOE MANAGERIAL/NON-COMPETITIVE,N/U,Non-Union,"63,301.00","252,165.00"
13247,ASST TO THE CHAIRMAN (COMM HUM,35,0,661,COMPETITIVE OJ,N/U,Non-Union,"78,827.00","96,038.00"
13250,LIAISON OFFICER TO THE MAYOR,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"57,550.00","226,351.00"
13251,EXECUTIVE ASSISTANT TO COMMUNI,35,0,672,BOE NON-MANAGERIAL/NON-COMPETI,N/U,Non-Union,"34,568.00","118,891.00"
13252,CALENDAR ASSISTANT,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"61,544.00","100,935.00"
13255,EXECUTIVE ASSISTANT FOR PLANNI,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13259,ASSISTANT TO THE DEPUTY MAYOR,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13260,EXECUTIVE ASSISTANT TO THE MAY,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13261,SPECIAL ASSISTANT TO THE MAYOR,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13262,SPECIAL ASSISTANT TO COMMISSIO,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"59,039.00","177,720.00"
13264,EXECUTIVE ASSISTANT TO THE DIR,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13265,EXECUTIVE ASSISTANT TO THE DIR,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13266,Exec Asst to the Chairman,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"68,969.00","106,876.00"
1326A,SPECIAL ASSISTANT TO COMMISSIO,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13272,EXECUTIVE ASST TO THE NYC COMM,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13273,Executive Assistant to the Ope,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"58,641.00","72,251.00"
13275,DIRECTOR OF MANAGEMENT PLANNIN,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13283,EXECUTIVE ASSISTANT FOR INTERG,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13284,EXECUTIVE ASSISTANT FOR PROGRA,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13286,EXEC ASST TO THE DIR (MAYOR'S,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
13288,SPECIAL ASSISTANT (BOE),35,0,780,BOE MANAGERIAL/NON-COMPETITIVE,N/U,Non-Union,"63,301.00","252,165.00"
13289,SPECIAL ASSISTANT TO MEMBER OF,35,0,780,BOE MANAGERIAL/NON-COMPETITIVE,N/U,Non-Union,"63,301.00","252,165.00"
13290,ASSISTANT TO THE COMMISSIONER,35,0,662,NON COMPETITIVE OJ,N/U,Non-Union,"96,452.00","96,452.00"
